image,ground_truth,prediction,CER_score,CER,Status
test050_1.jpg,L1265OF,1265,0.4285714285714285,0.42857142857142855,Gagal
test050_2.jpg,N1095G,1065,0.5,0.5,Gagal
test051_1.jpg,N1718HC,1718,0.4285714285714285,0.42857142857142855,Gagal
test052_1.jpg,N6497KS,67876,0.7142857142857143,0.7142857142857143,Gagal
test052_2.jpg,N5235ABX,NS5239,0.625,0.625,Gagal
test052_3.jpg,N4980KJ,4980,0.4285714285714285,0.42857142857142855,Gagal
test053_1.jpg,N1365AAG,N191366,0.75,0.75,Gagal
test054_1.jpg,N1077AAK,N107 1977,0.625,0.625,Gagal
test054_2.jpg,N1084AAB,1087,0.625,0.625,Gagal
test055_1.jpg,N1610KS,1609,0.5714285714285714,0.5714285714285714,Gagal
test056_1.jpg,N924CIA,N927C,0.4285714285714285,0.42857142857142855,Gagal
test056_2.jpg,N1623HB,1623,0.4285714285714285,0.42857142857142855,Gagal
test056_3.jpg,L1430HF,143,0.5714285714285714,0.5714285714285714,Gagal
test057_1.jpg,N1342T,N1341142,0.6666666666666666,0.6666666666666666,Gagal
test057_2.jpg,H4145AB,NK1352,0.7142857142857143,0.7142857142857143,Gagal
test057_3.jpg,N1396AAH,N1389AAA,0.375,0.375,Gagal
test058_1.jpg,N3153ACB,N331156,0.75,0.75,Gagal
test058_2.jpg,H5829KJ,5682,0.7142857142857143,0.7142857142857143,Gagal
test058_3.jpg,N1780JL,NJ 1780,0.5714285714285714,0.5714285714285714,Gagal
test059_1.jpg,W8774PA,W877,0.4285714285714285,0.42857142857142855,Gagal
test059_2.jpg,B9162FXU,B-9191,0.75,0.75,Gagal
test060_1.jpg,L1846JE,LJ1865,0.5714285714285714,0.5714285714285714,Gagal
test060_2.jpg,M1457ITA,14657,0.625,0.625,Gagal
test061_1.jpg,AA1971KJ,1971,0.5,0.5,Gagal
test061_2.jpg,BD1146DH,BD141146,0.5,0.5,Gagal
test062_1.jpg,B9654PEU,B 965,0.625,0.625,Gagal
test062_2.jpg,AE7244S,AE-7215,0.5714285714285714,0.5714285714285714,Gagal
test063_1.jpg,S1208BI,1234567890,1.1428571428571428,1.1428571428571428,Gagal
test064_1.jpg,AE8137G,AE81197,0.4285714285714285,0.42857142857142855,Gagal
test065_1.jpg,H1706SW,H17906,0.4285714285714285,0.42857142857142855,Gagal
test066_1.jpg,L1229HS,123456,0.7142857142857143,0.7142857142857143,Gagal
test066_2.jpg,H1790ZY,H1790,0.2857142857142857,0.2857142857142857,Gagal
test067_1.jpg,L1855BR,1856,0.5714285714285714,0.5714285714285714,Gagal
test067_2.jpg,AB1274EV,ABL 1271,0.625,0.625,Gagal
test068_1.jpg,B2310UZS,B 2319,0.625,0.625,Gagal
test068_2.jpg,G1264CM,1265,0.5714285714285714,0.5714285714285714,Gagal
test069_1.jpg,AA1138AK,AA 1318,0.5,0.5,Gagal
test070_1.jpg,B2160TOB,B12166,0.625,0.625,Gagal
test070_2.jpg,B2597BYK,2597,0.5,0.5,Gagal
test071_1.jpg,G9545AG,G 9564,0.7142857142857143,0.7142857142857143,Gagal
test072_1.jpg,BG1870IB,1876,0.625,0.625,Gagal
test073_1.jpg,T1187HB,1987,0.5714285714285714,0.5714285714285714,Gagal
test073_2.jpg,A1330FP,1334,0.5714285714285714,0.5714285714285714,Gagal
test074_1.jpg,G1368GE,1368,0.4285714285714285,0.42857142857142855,Gagal
test074_2.jpg,B1081CMR,B101198,0.5,0.5,Gagal
test075_1.jpg,G2414XZ,6725,1.0,1.0,Gagal
test075_2.jpg,G9173BP,9173,0.4285714285714285,0.42857142857142855,Gagal
test075_3.jpg,TIDAK_TERBACA,123456,1.0,1.0,Gagal
test076_1.jpg,G2151ASF,613211,0.875,0.875,Gagal
test076_2.jpg,E500MA,500,0.5,0.5,Gagal
test076_3.jpg,G4689SN,C 42809,0.8571428571428571,0.8571428571428571,Gagal
test077_1.jpg,G1754DZ,617-0217,0.8571428571428571,0.8571428571428571,Gagal
test078_1.jpg,H1413DH,1413,0.4285714285714285,0.42857142857142855,Gagal
test079_1.jpg,T1688GY,1687,0.5714285714285714,0.5714285714285714,Gagal
test079_2.jpg,A1260AJ,12657,0.5714285714285714,0.5714285714285714,Gagal
test080_1.jpg,D77HSB,777 HSB,0.3333333333333333,0.3333333333333333,Gagal
test080_2.jpg,B1661TQJ,B1861,0.5,0.5,Gagal
test080_3.jpg,D1160ADE,1600 ADE,0.5,0.5,Gagal
test081_1.jpg,F8097BD,8090,0.5714285714285714,0.5714285714285714,Gagal
test081_2.jpg,F1992AM,F1971,0.5714285714285714,0.5714285714285714,Gagal
test076_1.jpg,G2151ASF,6132101,0.875,0.875,Gagal
test076_2.jpg,E500MA,500,0.5,0.5,Gagal
test076_3.jpg,G4689SN,C 42809,0.8571428571428571,0.8571428571428571,Gagal
test077_1.jpg,G1754DZ,617-029,0.7142857142857143,0.7142857142857143,Gagal
test078_1.jpg,H1413DH,1413,0.4285714285714285,0.42857142857142855,Gagal
test079_1.jpg,T1688GY,1687,0.5714285714285714,0.5714285714285714,Gagal
test082_1.jpg,E1824YZ,1827,0.5714285714285714,0.5714285714285714,Gagal
test082_2.jpg,B9093UEX,B90396,0.5,0.5,Gagal
test083_1.jpg,F5052AAE,F5067,0.625,0.625,Gagal
test083_2.jpg,F5452CQ,5652,0.5714285714285714,0.5714285714285714,Gagal
test084_1.jpg,B1158PYP,181116,0.875,0.875,Gagal
test084_2.jpg,B1242VOY,B1213VY,0.375,0.375,Gagal
